Date,Daily VWAP,ECMI,ECQI
26-May-2024,0,55.2327,60.0116
27-May-2024,45.5,53.1181,59.9675
28-May-2024,44.5,51.9385,59.5223
29-May-2024,43.6255,51.4202,59.2993
30-May-2024,44.475,51.0472,59.1484
31-May-2024,45.423,50.6137,58.9036
01-Jun-2024,0,50.6091,58.9036
02-Jun-2024,0,50.505,58.9036
03-Jun-2024,0,50.505,58.8035
04-Jun-2024,47,50.4733,58.7269
05-Jun-2024,47.4925,50.3968,58.679
06-Jun-2024,51.0909,50.4531,58.4109
07-Jun-2024,55,50.5462,58.054
08-Jun-2024,0,50.5186,58.054
09-Jun-2024,0,50.2442,58.054
10-Jun-2024,55.2302,50.6261,57.9327
11-Jun-2024,53.4253,50.8939,57.1595
12-Jun-2024,0,50.7961,57.0887
13-Jun-2024,52.5,50.8,57.0521
14-Jun-2024,52.5,50.8143,56.2902
15-Jun-2024,0,50.1146,56.2902
16-Jun-2024,0,50.1146,56.2902
17-Jun-2024,52.8,50.2533,56.2413
18-Jun-2024,51.037,50.2875,56.174
19-Jun-2024,49.7911,49.4181,55.9841
20-Jun-2024,0,49.4059,55.8459
21-Jun-2024,47.7223,49.5139,55.6471
22-Jun-2024,0,49.5139,55.6471
23-Jun-2024,0,49.741,55.6471
24-Jun-2024,47,49.7147,55.0871
25-Jun-2024,48.6935,49.5809,54.8143
26-Jun-2024,49.2961,49.593,54.787
27-Jun-2024,0,50.2437,54.787
28-Jun-2024,0,50.6816,54.787
29-Jun-2024,0,50.8739,54.787
30-Jun-2024,0,51.4106,54.787
01-Jul-2024,47.9545,51.2073,54.693
02-Jul-2024,48.75,51.1668,54.6697
03-Jul-2024,50.0816,51.1329,53.1787
04-Jul-2024,51.9012,51.2974,53.0451
05-Jul-2024,51,51.3242,53.028
06-Jul-2024,0,51.3446,52.9106
07-Jul-2024,0,51.3688,52.9106
08-Jul-2024,50.5215,51.1571,52.8758
09-Jul-2024,0,51.1571,52.4577
10-Jul-2024,51.8088,51.2701,52.4166
11-Jul-2024,52.7285,51.3397,52.4234
12-Jul-2024,52.4231,51.1719,52.4203
13-Jul-2024,0,51.1719,52.4176
14-Jul-2024,0,51.1522,52.4176
15-Jul-2024,53.2159,51.1385,52.4193
16-Jul-2024,52.5,51.183,52.4195
17-Jul-2024,52.7986,51.2746,52.427
18-Jul-2024,53.7118,51.3875,52.4605
19-Jul-2024,54.5,51.5096,52.488
20-Jul-2024,0,51.5729,52.4916
21-Jul-2024,0,51.5729,52.4916
22-Jul-2024,0,51.7264,52.4916
23-Jul-2024,0,51.7264,52.5201
24-Jul-2024,52.5,51.7504,52.5199
25-Jul-2024,51,51.756,52.3026
26-Jul-2024,50.5,52.011,52.2746
27-Jul-2024,0,52.0473,51.4838
28-Jul-2024,0,52.0473,51.4838
29-Jul-2024,54.389,52.596,51.8204
30-Jul-2024,50.2,52.5901,51.7788
31-Jul-2024,49.8132,52.3195,51.6779
01-Aug-2024,51.5581,52.3527,51.6714
02-Aug-2024,51.5,52.3675,51.6705
03-Aug-2024,0,52.3971,51.651
04-Aug-2024,0,52.4602,51.651
05-Aug-2024,51,52.4778,51.6503
06-Aug-2024,52.5882,52.4782,51.6437
07-Aug-2024,53.6318,52.6467,51.7905
08-Aug-2024,0,52.6975,51.771
09-Aug-2024,52.5,52.6973,51.7663
10-Aug-2024,0,52.7977,51.7183
11-Aug-2024,0,52.8106,51.7183
12-Aug-2024,0,52.8141,51.7183
13-Aug-2024,0,52.8141,51.6964
